website_analyte,analyte_codes,category,total_count,below_detection_count,above_detection_count,within_detection_count,percent_below_det,percent_above_det,percent_within_det
δ7Li-carb (‰),DELTA_Li7_CARB,metal_isotope,187,0,0,187,0,0,100
δ82/78Se (‰),DELTA_Se82_Se78,metal_isotope,302,0,0,302,0,0,100
δ98Mo (‰),DELTA_Mo98,metal_isotope,1320,0,0,1320,0,0,100
δ98Mo-auth (‰),DELTA_Mo98_AUTH,metal_isotope,172,0,0,172,0,0,100
δ98Mo-carb (‰),DELTA_Mo98_CARB,metal_isotope,197,0,0,197,0,0,100
𝜀205Tl-auth,e205Tl-auth,metal_isotope,654,0,0,654,0,0,100
𝜀205Tl-det,e205Tl-det,metal_isotope,13,0,0,13,0,0,100
𝜀Nd(0),eNd(0),metal_isotope,69,0,0,69,0,0,100
𝜀Nd(t),eNd(t),metal_isotope,61,0,0,61,0,0,100
𝜀Ndi,eNdi,metal_isotope,50,0,0,50,0,0,100
